Job_Number,Part_Decription
2,7 Long Stabs
13,7 Short Stabs
19,Boom and Dipper (310 SL  315 SL Boom and Ext. Dipper w Thumb)
34,SSL Large Mainframe
38,Boom and Dipper (310SL 325L Boom and Ext. Dipper)
41,Boom and Dipper (310SL325SL Boom and Std. Dipper)
42,Boom and Dipper (310 SL  315 SL Boom and Std. Dipper w Thumb)
46,6 710 Stabs
57,710 LLA
68,4 Long Stabs and Slider
76,4 SSL V- Plenum
77,4 SSL U-Plenum
84,4 Large SSL Upper Links
110,4 Mid SSL Upper Links
111,Small SSL Mainframe Radial
120,Boom and Dipper (410 L  410 TL Boom and Ext. Dipper w Thumb)
131,Boom and Dipper (410 L Boom and Std. Dipper w Thumb)
132,Boom and Dipper (410 L Boom and Ext. Dipper)
143,Boom and Dipper (410 L Boom and Std. Dipper)
160,4 Small Upper links
178,SSL Mid Frameframe
216,5 BHL Couplers
222,Small SSL Mainframe Vertical
234,Boom and Dipper (310 L Boom and Ext. Dipper)
235,Boom and Dipper (310 L Boom and Ext. Dipper w Thumb)
236,Boom and Dipper (310 L Boom and Std. Dipper)
261,310/410 LLA
284,LLA w/ Coupler
310,310 Mainframe
325,315/325 Mainframe
345,Boom and Dipper (310 HL Boom and Ext. Dipper)
346,Boom and Dipper (310 HL Boom and Ext. Dipper w Thumb)
410,410 Mainframe
495,SSL Small Track Frame
500,SSL Large Track Frame
505,Mid SSL Track Frame
710,710 Mainframe
735,710 Ext. Dipper
741,710 Boom
749,710 Std. Dipper
