USERID,DATE,START_TIME,END_TIME
sd13519,2019-02-04,1:10:47 PM,2:33:39 PM
sd13519,2019-02-04,2:34:46 PM,2:38:01 PM
sd13519,2019-02-04,4:13:12 PM,4:13:45 PM
sd13519,2019-02-04,4:13:12 PM,4:13:45 PM
sd13519,2019-02-04,4:13:12 PM,4:13:45 PM
sd13519,2019-02-04,4:13:59 PM,4:14:21 PM
sd13519,2019-02-05,4:15:05 PM,4:16:07 PM
sd13519,2019-02-05,4:16:24 PM,4:17:03 PM
sd13519,2019-02-05,4:17:34 PM,4:20:41 PM
sd13519,2019-02-05,4:26:15 PM,4:26:16 PM
sd13519,2019-02-05,4:26:33 PM,4:35:23 PM
sd13519,2019-02-05,4:35:34 PM,9:35:30 PM
sd13519,2019-02-06,12:37:53 PM,12:38:27 PM
sd13519,2019-02-06,12:38:38 PM,12:39:14 PM
sd13519,2019-02-06,12:39:24 PM,12:45:11 PM
sd13519,2019-02-06,12:49:22 PM,12:49:48 PM
sd13519,2019-02-06,1:01:24 PM,1:02:22 PM
sd13519,2019-02-06,1:02:32 PM,1:02:53 PM
sd13519,2019-02-06,1:03:02 PM,1:03:23 PM
sd13519,2019-02-07,10:05:03 AM,10:52:47 AM
sd13519,2019-02-07,10:55:11 AM,12:05:58 PM
sd13519,2019-02-07,12:06:15 PM,3:43:28 PM
sd13519,2019-02-07,3:48:17 PM,3:54:26 PM
sd13519,2019-02-07,5:31:32 PM,5:35:19 PM
sd13519,2019-02-07,5:38:42 PM,5:40:09 PM
sd13519,2019-02-08,4:44:22 PM,4:44:45 PM
sd13519,2019-02-08,4:59:23 PM,5:22:17 PM
sd13519,2019-02-08,4:59:23 PM,5:22:17 PM
sd13519,2019-02-08,4:59:23 PM,5:22:17 PM
sd13519,2019-02-08,5:23:37 PM,5:24:13 PM
sd13519,2019-02-08,5:42:33 PM,5:42:58 PM
sd13519,2019-02-08,5:43:10 PM,5:44:07 PM
sd13519,2019-02-08,5:44:21 PM,5:45:29 PM
sd13519,2019-02-08,5:45:44 PM,5:45:53 PM
sd13519,2019-02-08,5:46:16 PM,5:46:50 PM
sd13519,2019-02-08,5:47:10 PM,5:47:19 PM
sd13519,2019-02-08,5:48:31 PM,5:51:01 PM
sd13519,2019-02-08,5:51:27 PM,5:51:46 PM
sd13519,2019-02-08,5:52:54 PM,5:53:55 PM
sd13519,2019-02-08,5:54:44 PM,5:55:02 PM
sd13519,2019-02-08,5:55:49 PM,5:56:12 PM
sd13519,2019-02-08,5:57:12 PM,5:57:41 PM
sd13519,2019-02-11,10:47:26 AM,10:48:05 AM
sd13519,2019-02-11,10:48:35 AM,10:48:52 AM
sd13519,2019-02-11,1:42:07 PM,1:42:19 PM
sd13519,2019-02-11,1:44:28 PM,1:45:45 PM
sd13519,2019-02-11,1:45:56 PM,1:47:09 PM
sd13519,2019-02-11,1:47:22 PM,2:12:02 PM
sd13519,2019-02-11,2:12:15 PM,2:13:26 PM
sd13519,2019-02-11,3:05:26 PM,3:06:19 PM
sd13519,2019-02-11,3:06:31 PM,3:06:59 PM
sd13519,2019-02-11,3:07:11 PM,3:07:24 PM
sd13519,2019-02-11,3:10:27 PM,3:11:11 PM
sd13519,2019-02-11,5:30:23 PM,5:30:54 PM
sd13519,2019-02-11,5:31:10 PM,5:33:57 PM
sd13519,2019-02-11,5:38:29 PM,5:39:02 PM
sd13519,2019-02-11,6:25:12 PM,6:25:31 PM
sd13519,2019-02-12,12:03:22 PM,12:03:29 PM
sd13519,2019-02-12,12:04:55 PM,12:05:01 PM
sd13519,2019-02-12,12:51:44 PM,12:53:50 PM
sd13519,2019-02-12,4:41:10 PM,4:41:10 PM
sd13519,2019-02-12,4:41:10 PM,4:41:10 PM
sd13519,2019-02-12,4:42:27 PM,4:42:36 PM
sd13519,2019-02-12,4:42:27 PM,4:42:36 PM
sd13519,2019-02-12,4:45:57 PM,4:46:05 PM
sd13519,2019-02-12,7:48:51 PM,7:51:27 PM
sd13519,2019-02-12,7:55:02 PM,7:56:04 PM
sd13519,2019-02-12,8:09:27 PM,8:15:42 PM
sd13519,2019-02-13,11:57:27 AM,12:10:01 PM
sd13519,2019-02-13,12:14:11 PM,12:14:11 PM
sd13519,2019-02-13,12:14:11 PM,12:14:11 PM
sd13519,2019-02-13,12:14:35 PM,12:21:52 PM
sd13519,2019-02-13,12:48:46 PM,12:53:38 PM
sd13519,2019-02-13,12:53:56 PM,1:32:02 PM
sd13519,2019-02-13,1:32:29 PM,2:13:56 PM
sd13519,2019-02-13,2:19:26 PM,3:09:26 PM
sd13519,2019-02-13,2:19:26 PM,3:09:26 PM
sd13519,2019-02-13,2:19:26 PM,3:09:26 PM
sd13519,2019-02-13,3:09:47 PM,3:12:48 PM
sd13519,2019-02-13,3:14:25 PM,3:15:01 PM
sd13519,2019-02-13,3:14:25 PM,3:15:01 PM
sd13519,2019-02-13,3:22:31 PM,3:22:54 PM
sd13519,2019-02-13,3:24:59 PM,3:25:18 PM
sd13519,2019-02-13,3:24:59 PM,3:25:18 PM
sd13519,2019-02-13,3:44:19 PM,3:44:50 PM
sd13519,2019-02-13,3:44:19 PM,3:44:50 PM
sd13519,2019-02-13,3:44:19 PM,3:44:50 PM
sd13519,2019-02-13,3:44:19 PM,3:44:51 PM
sd13519,2019-02-13,3:44:19 PM,3:44:51 PM
sd13519,2019-02-13,3:45:28 PM,3:45:51 PM
sd13519,2019-02-13,3:46:28 PM,3:48:44 PM
sd13519,2019-02-13,3:49:47 PM,3:50:43 PM
sd13519,2019-02-13,3:49:47 PM,3:50:43 PM
sd13519,2019-02-13,7:32:49 PM,7:33:16 PM
sd13519,2019-02-13,7:32:49 PM,7:33:16 PM
sd13519,2019-02-14,9:12:09 AM,9:18:57 AM
sd13519,2019-02-14,9:20:29 AM,9:21:11 AM
sd13519,2019-02-14,9:20:29 AM,9:21:11 AM
sd13519,2019-02-14,9:21:39 AM,9:22:09 AM
sd13519,2019-02-14,9:22:23 AM,9:22:33 AM
sd13519,2019-02-14,9:24:06 AM,9:24:32 AM
sd13519,2019-02-14,10:05:28 AM,10:07:28 AM
sd13519,2019-02-14,10:05:28 AM,10:07:28 AM
sd13519,2019-02-14,10:07:41 AM,10:07:56 AM
sd13519,2019-02-14,10:09:32 AM,10:22:23 AM
sd13519,2019-02-14,10:22:43 AM,11:00:36 AM
sd13519,2019-02-14,11:05:28 AM,11:05:47 AM
sd13519,2019-02-14,11:06:13 AM,11:07:00 AM
sd13519,2019-02-14,11:14:32 AM,11:14:45 AM
sd13519,2019-02-14,11:16:11 AM,11:31:39 AM
sd13519,2019-02-14,11:31:56 AM,11:32:28 AM
sd13519,2019-02-14,11:32:42 AM,11:40:38 AM
sd13519,2019-02-14,11:40:51 AM,11:41:33 AM
sd13519,2019-02-14,11:41:45 AM,11:42:04 AM
sd13519,2019-02-14,11:45:38 AM,11:47:10 AM
sd13519,2019-02-14,11:45:38 AM,11:47:10 AM
sd13519,2019-02-14,11:45:38 AM,11:47:10 AM
sd13519,2019-02-14,11:52:17 AM,11:53:01 AM
sd13519,2019-02-14,11:52:17 AM,11:53:01 AM
sd13519,2019-02-14,11:52:17 AM,11:53:01 AM
sd13519,2019-02-14,11:57:53 AM,11:58:04 AM
sd13519,2019-02-14,12:32:49 PM,12:33:48 PM
sd13519,2019-02-14,12:32:49 PM,12:33:48 PM
sd13519,2019-02-14,12:35:41 PM,12:36:06 PM
sd13519,2019-02-14,12:35:41 PM,12:36:06 PM
sd13519,2019-02-14,1:03:53 PM,1:07:02 PM
sd13519,2019-02-14,1:03:53 PM,1:07:02 PM
sd13519,2019-02-14,1:09:07 PM,1:10:44 PM
sd13519,2019-02-14,1:23:34 PM,1:32:24 PM
sd13519,2019-02-14,1:23:34 PM,1:32:24 PM
sd13519,2019-02-14,1:55:31 PM,3:59:23 PM
sd13519,2019-02-14,1:55:31 PM,3:59:23 PM
sd13519,2019-02-14,1:55:31 PM,3:59:23 PM
sd13519,2019-02-14,1:55:31 PM,3:59:23 PM
sd13519,2019-02-14,5:16:27 PM,5:18:32 PM
sd13519,2019-02-14,5:18:52 PM,5:19:40 PM
sd13519,2019-02-14,5:55:38 PM,5:56:27 PM
sd13519,2019-02-15,7:20:35 PM,9:40:06 AM
sd13519,2019-02-18,3:38:34 PM,4:37:08 PM
sd13519,2019-02-18,4:37:28 PM,4:37:49 PM
sd13519,2019-02-18,4:39:13 PM,4:39:44 PM
